bill,furthest_stage,terminal_class,terminal_ref,roll_calls,last_recorded_action,history_url
H1049,reported_favorably,died_no_further_action,,,2024-03-28 Bill reported favorably by committee and referred to the committee on House Ways and Means,https://malegislature.gov/Bills/193/H1049
H1283,heard,superseded_by_redraft,H4266,,"2024-01-22 Accompanied a new draft, see H4266",https://malegislature.gov/Bills/193/H1283
H1428,heard,sent_to_study,H4517,,"2024-06-05 Accompanied a study order, see H4517",https://malegislature.gov/Bills/193/H1428
H1442,heard,superseded_by_redraft,H4323,,"2024-02-08 Accompanied a new draft, see H4323",https://malegislature.gov/Bills/193/H1442
H1455,heard,sent_to_study,H4517,,"2024-06-05 Accompanied a study order, see H4517",https://malegislature.gov/Bills/193/H1455
H1519,heard,sent_to_study,H4517,,"2024-06-05 Accompanied a study order, see H4517",https://malegislature.gov/Bills/193/H1519
H1525,heard,sent_to_study,H4517,,"2024-06-05 Accompanied a study order, see H4517",https://malegislature.gov/Bills/193/H1525
H1555,heard,sent_to_study,H4517,,"2024-06-05 Accompanied a study order, see H4517",https://malegislature.gov/Bills/193/H1555
H1572,heard,sent_to_study,H4517,,"2024-06-05 Accompanied a study order, see H4517",https://malegislature.gov/Bills/193/H1572
H1653,heard,sent_to_study,H4517,,"2024-06-05 Accompanied a study order, see H4517",https://malegislature.gov/Bills/193/H1653
H1690,heard,superseded_by_redraft,H4356,,"2024-02-12 Accompanied a new draft, see H4356",https://malegislature.gov/Bills/193/H1690
H1707,heard,sent_to_study,H4517,,"2024-06-05 Accompanied a study order, see H4517",https://malegislature.gov/Bills/193/H1707
H1728,heard,superseded_by_redraft,H4359,,"2024-02-12 Accompanied a new draft, see H4359",https://malegislature.gov/Bills/193/H1728
H1745,heard,superseded_by_redraft,H4115,,"2023-10-10 Accompanied a new draft, see H4115",https://malegislature.gov/Bills/193/H1745
H1809,heard,sent_to_study,H4517,,"2024-06-05 Accompanied a study order, see H4517",https://malegislature.gov/Bills/193/H1809
H1893,heard,sent_to_study,H4570,,"2024-05-15 Accompanied a study order, see H4570",https://malegislature.gov/Bills/193/H1893
H1986,heard,sent_to_study,H4712,,"2024-06-06 Accompanied a study order, see H4712",https://malegislature.gov/Bills/193/H1986
H281,reporting_extended,died_no_further_action,,,"2024-08-05 Reporting date extended to Tuesday December 31, 2024, pending concurrence",https://malegislature.gov/Bills/193/H281
H2991,heard,sent_to_study,H4675,,"2024-06-10 Accompanied a study order, see H4675",https://malegislature.gov/Bills/193/H2991
H3003,reported_favorably,died_no_further_action,,,2023-07-31 Bill reported favorably by committee and referred to the committee on House Ways and Means,https://malegislature.gov/Bills/193/H3003
H3179,reporting_extended,died_no_further_action,,,2024-03-28 Senate concurred,https://malegislature.gov/Bills/193/H3179
H326,reporting_extended,died_no_further_action,,,"2024-08-05 Reporting date extended to Tuesday December 31, 2024, pending concurrence",https://malegislature.gov/Bills/193/H326
H3404,reported_favorably,died_no_further_action,,,2024-04-01 Bill reported favorably by committee and referred to the committee on House Ways and Means,https://malegislature.gov/Bills/193/H3404
H3431,heard,sent_to_study,H4714,,"2024-06-06 Accompanied a study order, see H4714",https://malegislature.gov/Bills/193/H3431
H3434,reported_favorably,died_no_further_action,,,2024-03-07 Bill reported favorably by committee and referred to the committee on House Ways and Means,https://malegislature.gov/Bills/193/H3434
H357,reporting_extended,died_no_further_action,,,"2024-08-05 Reporting date extended to Tuesday December 31, 2024, pending concurrence",https://malegislature.gov/Bills/193/H357
H377,heard,sent_to_study,H4680,,"2024-05-30 Accompanied a study order, see H4680",https://malegislature.gov/Bills/193/H377
H3831,referred,sent_to_study,H4578,,"2024-05-06 Accompanied a study order, see H4578",https://malegislature.gov/Bills/193/H3831
H386,reporting_extended,died_no_further_action,,,"2024-08-05 Reporting date extended to Tuesday December 31, 2024, pending concurrence",https://malegislature.gov/Bills/193/H386
H3863,reporting_extended,sent_to_study,H4902,,"2024-08-15 Accompanied a study order, see H4902",https://malegislature.gov/Bills/193/H3863
H395,heard,sent_to_study,H4680,,"2024-05-30 Accompanied a study order, see H4680",https://malegislature.gov/Bills/193/H395
